,Unnamed: 0,Team,Player1,Player2,Player3,Player4,Player5,Rating,openRating,openminRating,openmaxRating,ratingPis,ratingminPis,ratingmaxPis,minRating,maxRating,Kda,minKda,maxKda,last10
67,93,Gucci Academy,adeX,shadiy,God6y,Ciocardau,2high,1.152,1.008,0.79,1.17,1.016,0.88,1.18,1.07,1.23,1.1039999999999999,1.01,1.23,0.0
68,96,Enterprise,capseN,leckr,system,MoriiSko,manguss,0.9724999999999999,0.9674999999999999,0.9,1.07,1.18,0.95,1.38,0.89,1.09,0.9125000000000001,0.79,1.12,-3
69,97,B8,amster,OWNER,r1nkle,cptkurtka023,npl,1.098,0.992,0.83,1.22,1.0959999999999999,0.96,1.31,1.0,1.19,1.0579999999999998,0.90,1.19,8.0
70,104,Mindfreak,Versa,dangeR,tucks,supar,Forleks,1.05,0.9675,0.84,1.05,1.035,0.59,1.34,0.91,1.12,0.9624999999999999,0.82,1.02,0.0
71,107,Sashi,aizy,PR1mE,n1xen,Speedy,nut nut,0.8625,0.8425,0.72,0.91,1.045,0.77,1.28,0.79,0.94,0.7949999999999999,0.70,0.94,-2
72,114,Verdant,Girafffe,arTisT,Extinct,wolfie,Ducky,1.0,0.94,0.82,1.14,1.0975,0.51,1.67,0.98,1.03,0.9125,0.88,0.94,0.0
73,117,MIBR fe,khizha,chjna,ferzy,Babs,REGIANE,1.1300000000000001,1.0319999999999998,0.89,1.29,1.178,0.61,1.65,1.03,1.23,1.09,0.94,1.29,0.0
74,119,Stirlzs Angels,callum_murray,toM,kyson,Drox,ObZen,1.06,1.0025,0.84,1.11,1.1025,1.03,1.18,0.95,1.18,0.9975,0.86,1.16,0.0
75,120,FURIA fe,izaa,GaBi,kaah,gabs,annaEX,1.38,1.23,1.07,1.33,1.545,1.31,1.8,1.35,1.41,1.535,1.40,1.77,0.0
76,126,Betera,lollipop21k,Ganginho,MaSvAl,sad,nifee3,1.0325,0.99,0.88,1.13,0.9424999999999999,0.82,1.04,0.87,1.12,1.005,0.78,1.17,4
77,129,IKLA,MICHU,Topa,draken,xicoz,Kvem,0.9960000000000001,0.9179999999999999,0.75,1.19,1.1520000000000001,0.83,1.35,0.89,1.15,0.96,0.82,1.11,-8
78,136,GenOne,Bibu,aidKiT,Sterzig,EIZA,Graviti,1.032,0.998,0.93,1.18,1.012,0.82,1.18,0.95,1.24,0.9799999999999999,0.85,1.36,0
79,140,UNITY,luko,Levi,NIO,Pechyn,M1key,1.0779999999999998,1.0260000000000002,0.89,1.17,0.96,0.91,1.04,0.97,1.17,1.028,0.88,1.12,2
80,141,Sangal,sausol,PANIX,kyuubii,LNZ,Yxngstxr,1.062,1.004,0.87,1.1,1.158,0.91,1.65,0.91,1.23,1.004,0.83,1.17,-2
81,144,Fluxo Demons,goddess,yungher,poppins,julih,nani,1.136,1.0719999999999998,0.96,1.23,0.986,0.49,1.33,0.94,1.42,1.15,0.82,1.71,0.0
