,Team,Player1,Player2,Player3,Player4,Player5
93,regnum4games,Spidergum,Pictrucz,kinQ, BlacKi,catf1sh
94,-72c,shandarez,m3wsu,1nhuman,borosto,forzetsky
95,Steel Helmet,captainMo,AE,xiaosaGe,18yM,DD
96,PeeP,aNsavage,YumsaN,Brilliance,bogemtdarf,yiksrezo
97,Take Flyte,Grave,cbass,z0mb1e,serv0,jchancE
98,RED Canids Academy,edv,sanc,gtw,n0page,FasteR
99,Clutch,IZR,hasteka,clouden,IIIMAGINEEE,flame
100,The Huns,nin9,Bart4k,xerolte,wonderzce,cobrazera
101,NightRaid,yaph,Shleper,w0of1e,myata,soNdarryll
102,Lotus fe,Fawx,axessor,Celi,Grimoire,Zazu
103,Purple Haze,T3mpty,noeN,AZY,Tymoshevskiy,mav1k
104,NIGERIA 96,predict,t9mpest,leozik4_,dudinho,nv1nJ
105,Revenge Nation,TABEN,HorizoN,MagiC,Evan,NIGHT666LADE
106,Nouns fe,Ashe,raynee,Jesscas,katalyyst,Lunari
107,Spirit fe,Jammie,uulis,AverOna,Rony4ka,tenweri
108,Housebets,apocdud,BRACE,damyo,yourwombat,Omichella
109,TNL,onic,yukitoro,cairne,zogeN,St0m4k
110,1WIN Academy,Oz1k,klainnnn,sstr1ct,wonimo,cronuss
111,SGGT,ZinGY,Haski4,deffen,Sange,lame
112,DMS,H1te,AW,sm3t,kAlash,molodoy
113,Blue Otter Karma,EMUHLEET,rain,buhnny,olya,Ellie
114,KZG,Zuko,Hassie,Samuukxs,KZXL,dpr
115,Homyno,J0LZ,Melio,Gabie,BiNoX,TENSKEE
116,NIP Impact,vilga,aim,Nayomy,Qiyarah,ramziiN
117,PEAK fe,LEXY,Cara de Banana,Vi,eleveN,DynasTy
118,GameHunters,prt,abr,Lich,pedrinzy,mello
119,NeverPlay,Thozor,opdust,BeiranZz,Ruy2k,mS
120,Gods Reign,reV3nnnn,Bhavi,Ph1NNN,R2B2,f1redup
121,Dreams To Legends,Stop_it,trouto,hste,crypt,Spammy
122,Metizport X,ZapR,fLickza,P1ke,Wolf,Macke
123,sEight,sashqua,TeeZz,yakut,zed1x,ZLOBA
124,Dewa United,klipp,MarsyA,neorah,Whis,RiseN
125,bullpeek,Csacsusz,darkwizard,rulezz,besi,yERKA
126,JOGA DE TERNO,lealziNho,BRNZ1K,Lukita,Sakamoto,swarmyzz
127,Players,dzt,dok,MITHPUTTINI,xns,Spinnie
128,Tropa do Taco,TACO,vsm,ponter,farias,chayJESUS
129,NewBALLS,torox,4X1s,Alv,deeN--,strix
130,Galorys Academy,insan1ty,bacc,Kadzz,prisma,triande
131,SINNERS Academy,boro,dreez,outex,DALIEN,Pepo
132,NITRO,beg0d,nolkz,happ,leleo,talkzyn
133,mYinsanity,DAVEN,reezk,m1kketye,CagXD,Sunvon
134,Synthesis,jmt,bmo,Maniel,EmpTyy,zihno
135,Kipi,adaro,zerOchaNce,lord,fekwene,SyN3d
136,XI Esport,Ariant0,INSPIRE,Logic,G0op,titulus
137,Girls' Club,food,Jo7,Aryip,smiLoL,Katoooz
138,WOPA,PR1mE,Vster,Gnøffe,Leakz,sL1m3
139,Trouble makers,Northwest,nursSSS,aRon_dA-k1nG,imyGDx,xztcu
140,MANTRA,rekonz,cheeseball,cookie,w0mbat,Reapz
141,PCIFIC Esport,Uurbadi,scolleN,-boZZo,maxy0y0,SCAFL
142,SkyFury,rendY,svemyy,Maggent,skcH,Зippoch
143,merci club,Cchr,Merci,LuukiauN,kexx1,boshS
